                    minimum sun activity
           IMBP               2020            30/06 2010
      integr     diff    integr   diff      integ    diff
0.1  5.11E+07  1.87E+08  762422  2782224    789696  2828592
0.15 4.26E+07  1.51E+08  636768  2243808    661781  2287872
0.2  3.60E+07  1.18E+08  538042  1742832    560894  1782864
0.3  2.72E+07  7.38E+07  410098  1.0801e+06 429538  1111464
0.4  2.12E+07  4.70E+07  322013  697421     338602  720734
0.5  1.78E+07  2.99E+07  270605  450922     285394  468014
0.6  1.53E+07  2.19E+07  231840  330739     245002  345629
0.7  1.34E+07  1.66E+07  204466  249768     216274  262555
1    9.95E+06  9.29E+06  151099  141647     159797  150034
1.5  7.26E+06  4.30E+06  110465  65096.6    116637  69232.3
2 5. 65E+06    2.66E+06  86004   40220.6    90558.7 42952.3
3    4.13E+06  1.21E+06  63185.8 18210.2    66015.4 19588.3
4    3.23E+06  6.86E+05  49582.1 10395.5    51382.1 11159.7
5    2.76E+06  4.04E+05  42395   6152.83    43696.8 6578.35
6    2.42E+06  2.67E+05  37277.3 4064.69    38226.2 4347.65
7    2.22E+06  1.77E+05  34266.2 2709.5     35002.1 2896.13
10   1.87E+06  9.14E+04  28851.8 1399.95    29270.9 1479.46
15   1.63E+06  3.69E+04  25225.9 566.107    25463.5 591.48
20   1.50E+06  2.31E+04  23189.8 356.717    23355.4 368.251
30   1.34E+06  1.46E+04  20630.9 226.742    20738.9 230.645
40   1.21E+06  1.17E+04  18655.2 182.808    18743   184.493
50   1.10E+06  1.13E+04  16974.7 174.946    17048.2 176.573
60   9.84E+05  1.13E+04  15156   173.808    15210.7 175.277
70   8.76E+05  1.02E+04  13498.3 158.155    13543.1 159.134
100  6.14E+05  7.68E+03  9441.07 118.669    9462.1  119.32
150  3.19E+05  4.42E+03  4888.66 68.2934    4888.8  68.5584
200  1.71E+05  2.38E+03  2611.58 36.5861    2606.4  36.6552
300  4.93E+04  7.84E+02  743.789 11.9799    739.411 11.9635
400  1.44E+04  0.00E+00  215.64  0          213.653 0
